family	symbol	c_signature	header	javacpp	datalevin_callers	dtlv_internal	condition
usearch	usearch_connectivity	size_t (usearch_index_t, usearch_error_t *)	src/usearch/c/usearch.h:271	yes		no	default
usearch	usearch_contains	_Bool (usearch_index_t, usearch_key_t, usearch_error_t *)	src/usearch/c/usearch.h:368	yes		no	default
usearch	usearch_count	size_t (usearch_index_t, usearch_key_t, usearch_error_t *)	src/usearch/c/usearch.h:377	yes		no	default
usearch	usearch_dimensions	size_t (usearch_index_t, usearch_error_t *)	src/usearch/c/usearch.h:264	yes		no	default
usearch	usearch_distance	usearch_distance_t (const void *, const void *, usearch_scalar_kind_t, size_t, usearch_metric_kind_t, usearch_error_t *)	src/usearch/c/usearch.h:460	yes		no	default
usearch	usearch_exact_search	void (const void *, size_t, size_t, const void *, size_t, size_t, usearch_scalar_kind_t, size_t, usearch_metric_kind_t, size_t, size_t, usearch_key_t *, size_t, usearch_distance_t *, size_t, usearch_error_t *)	src/usearch/c/usearch.h:486	yes		no	default
usearch	usearch_expansion_add	size_t (usearch_index_t, usearch_error_t *)	src/usearch/c/usearch.h:287	yes		no	default
usearch	usearch_expansion_search	size_t (usearch_index_t, usearch_error_t *)	src/usearch/c/usearch.h:295	yes		no	default
usearch	usearch_filtered_search	size_t (usearch_index_t, const void *, usearch_scalar_kind_t, size_t, usearch_filtered_search_callback_t, void *, usearch_key_t *, usearch_distance_t *, usearch_error_t *)	src/usearch/c/usearch.h:410	yes		no	default
usearch	usearch_free	void (usearch_index_t, usearch_error_t *)	src/usearch/c/usearch.h:150	yes	src/java/datalevin/cpp/VecIdx.java	no	default
usearch	usearch_get	size_t (usearch_index_t, usearch_key_t, size_t, void *, usearch_scalar_kind_t, usearch_error_t *)	src/usearch/c/usearch.h:426	yes	src/java/datalevin/cpp/VecIdx.java	no	default
usearch	usearch_hardware_acceleration	const char *(usearch_index_t, usearch_error_t *)	src/usearch/c/usearch.h:166	yes	src/java/datalevin/cpp/VecIdx.java	no	default
usearch	usearch_hardware_acceleration_available	const char *(void)	src/usearch/c/usearch.h:135	no		no	default
usearch	usearch_hardware_acceleration_compiled	const char *(void)	src/usearch/c/usearch.h:129	no		no	default
usearch	usearch_init	usearch_index_t (usearch_init_options_t *, usearch_error_t *)	src/usearch/c/usearch.h:143	yes	src/java/datalevin/cpp/VecIdx.java	no	default
usearch	usearch_load	void (usearch_index_t, const char *, usearch_error_t *)	src/usearch/c/usearch.h:189	yes	src/java/datalevin/cpp/VecIdx.java	no	default
usearch	usearch_load_buffer	void (usearch_index_t, const void *, size_t, usearch_error_t *)	src/usearch/c/usearch.h:223	yes	src/java/datalevin/cpp/VecIdx.java	no	default
usearch	usearch_memory_usage	size_t (usearch_index_t, usearch_error_t *)	src/usearch/c/usearch.h:158	yes	src/java/datalevin/cpp/VecIdx.java	no	default
usearch	usearch_metadata	void (const char *, usearch_init_options_t *, usearch_error_t *)	src/usearch/c/usearch.h:205	yes		no	default
usearch	usearch_metadata_buffer	void (const void *, size_t, usearch_init_options_t *, usearch_error_t *)	src/usearch/c/usearch.h:242	yes		no	default
usearch	usearch_remove	size_t (usearch_index_t, usearch_key_t, usearch_error_t *)	src/usearch/c/usearch.h:437	yes	src/java/datalevin/cpp/VecIdx.java	no	default
usearch	usearch_rename	size_t (usearch_index_t, usearch_key_t, usearch_key_t, usearch_error_t *)	src/usearch/c/usearch.h:447	yes		no	default
usearch	usearch_reserve	void (usearch_index_t, size_t, usearch_error_t *)	src/usearch/c/usearch.h:279	yes	src/java/datalevin/cpp/VecIdx.java	no	default
usearch	usearch_save	void (usearch_index_t, const char *, usearch_error_t *)	src/usearch/c/usearch.h:181	yes	src/java/datalevin/cpp/VecIdx.java	no	default
usearch	usearch_save_buffer	void (usearch_index_t, void *, size_t, usearch_error_t *)	src/usearch/c/usearch.h:214	yes	src/java/datalevin/cpp/VecIdx.java	no	default
usearch	usearch_search	size_t (usearch_index_t, const void *, usearch_scalar_kind_t, size_t, usearch_key_t *, usearch_distance_t *, usearch_error_t *)	src/usearch/c/usearch.h:390	yes	src/java/datalevin/cpp/VecIdx.java	no	default
usearch	usearch_serialized_length	size_t (usearch_index_t, usearch_error_t *)	src/usearch/c/usearch.h:173	yes	src/java/datalevin/cpp/VecIdx.java	no	default
usearch	usearch_size	size_t (usearch_index_t, usearch_error_t *)	src/usearch/c/usearch.h:250	yes	src/java/datalevin/cpp/VecIdx.java	no	default
usearch	usearch_version	const char *(void)	src/usearch/c/usearch.h:123	yes		no	default
usearch	usearch_view	void (usearch_index_t, const char *, usearch_error_t *)	src/usearch/c/usearch.h:197	yes		no	default
usearch	usearch_view_buffer	void (usearch_index_t, const void *, size_t, usearch_error_t *)	src/usearch/c/usearch.h:233	yes		no	default
